epoch,train_g,train_d,train_l1,val_l1
1,23.920270894481018,0.272415418021249,0.10103310130338754,0.0770353961449403
2,18.674146128966743,0.13166161366136728,0.07741844581555477,0.0836500204526461
3,21.198096486319482,0.07168325217671495,0.08281905916148583,0.09188295556948735
4,21.261932035463047,0.0019735225334153632,0.07248266944579318,0.07371871975752023
5,21.29532255324642,0.0024821405073388817,0.07114306956002142,0.07206242244977218
6,21.41866898325692,0.0006476049775059904,0.07040306556541308,0.07145141580930123
7,21.58032236690015,0.0005060556793865641,0.07023402824338558,0.07470092177391052
8,21.707164561854,0.00041095533874916095,0.07001412679663802,0.0741191512117019
9,21.87028869696423,0.0003435078774479968,0.0700600869887698,0.07309670230517021
10,21.979371011784647,0.000294437909996409,0.06988578599638644,0.07057323994544837
