epoch,train_g,train_d,train_l1,val_l1
1,22.978566076903217,0.2687771719204575,0.09832289603959142,0.07553621725394176
2,19.530053957373696,0.15232166637196742,0.07774672222084704,0.08047838451770636
3,20.463223415138447,0.1357687576632716,0.08210235933023216,0.07816241051142032
4,20.35966282397245,0.007034662606161648,0.07339357644055797,0.07310825987504078
5,21.130072517732604,0.0010527511002635995,0.07104435256492775,0.07186844773017444
6,21.45293065298975,0.0006123264412914889,0.07053711871921489,0.07152698475580949
7,21.72661182099739,0.00043293005973306706,0.07035283655323814,0.07458300086168143
8,21.941612851303237,0.0003294127221132703,0.07012529687675755,0.07259240803810266
9,22.168020349688234,0.0002636193407007155,0.07015041789386124,0.07257425097318795
10,22.317093840742533,0.00021933079326311045,0.06992398987037945,0.07055441232827994
11,22.506106638275416,0.00018253382560652804,0.07001260684522907,0.07025270335949384
12,22.623030316513198,0.0001548440527867328,0.06977983722380832,0.07109647588087963
13,22.718222153925264,0.00013330753665238173,0.06949740915303737,0.07202766893001702
14,22.93944525929679,0.00011764881080037098,0.06993164596831904,0.07098209857940674
15,23.002055463537705,0.00010478787576940438,0.06960450940295658,0.06996532701528989
16,23.129738208466925,9.28691804045358e-05,0.06966344448449337,0.07163405533020313
17,23.261698072990484,8.154557840136267e-05,0.06972518497336228,0.07084779899853927
18,23.317862367208026,7.382150956035995e-05,0.06945187938028732,0.07060189344562016
19,23.453771236723505,6.658750389438881e-05,0.069649364008049,0.07329319245540179
20,23.55878846835246,6.191225214274105e-05,0.06972370336277295,0.07188053944936165
21,20.85337456559713,0.13711776841015647,0.07461471150142956,0.08898936899808738
22,21.863047878299138,0.23651323334800195,0.08841527708336315,0.09276387496636464
23,21.79965161011282,0.31493524008686036,0.09392268784278263,0.09724652537932763
24,21.46301234084948,0.28843888142599466,0.09285519417144555,0.09704373203791104
25,22.026596035577555,0.2445993082581368,0.09478400383902862,0.10590377278052844
26,22.693779076095176,0.20080672725375776,0.09588327548936405,0.11898924353031012
27,22.22269605113342,0.27347600926537957,0.09505197465156032,0.10942264359730941
28,21.95882998103589,0.14481490491106447,0.09168922334118226,0.10559892253233837
29,22.382484672343836,0.20622630665424915,0.09312785205851613,0.11201051909189957
30,22.70460508565987,0.14302781371366793,0.09422110185950203,0.121501346047108
31,23.374178093091576,0.1839982319738617,0.0957955435182141,0.09208589448378636
32,22.875605152771538,0.15890670056759784,0.09415234434129917,0.0920703370983784
33,23.67294105597302,0.15320349594710014,0.09574335701433959,0.08923653112008022
34,24.033473208942244,0.10391487355088502,0.09665873330251305,0.11221189223803006
35,23.504345159615035,0.10909864037355359,0.09250000574156246,0.11069976939604832
36,24.154970050913043,0.14248656305542165,0.09598938619668505,0.10196556322849713
37,25.522571378049598,0.10558121960375261,0.10070692991788409,0.11509629109731087
38,23.35093246730028,0.10256749903989247,0.09240696908889619,0.11367845879151271
39,23.187602000953877,0.1137385019039389,0.09095904804700244,0.09911627494371854
40,23.60026437202386,0.11323536602178572,0.09321927331981406,0.09951015160633968
41,23.705732598768925,0.12340762498129192,0.09214333820659502,0.0962168866625199
42,23.25122634077494,0.09575238227442451,0.08988293200995015,0.12566253141714975
43,23.8375541889562,0.0988533603763043,0.092302888499952,0.10797880188776897
44,24.412082385172887,0.09878160432702243,0.09333635147957675,0.09730158058496621
45,24.25652433074681,0.08172001244358108,0.09201139356710214,0.1329550536779257
46,23.606419723645775,0.11814704860160868,0.09108885397425795,0.10047321078869012
47,24.433227690975222,0.09978334739468415,0.09502221887881777,0.0971293976673713
48,23.67763945486693,0.04935252558814972,0.08959963489159019,0.0975548464518327
49,24.261087265689817,0.09903242239940796,0.09196009460539945,0.08527632286915413
50,25.06363811324128,0.0799630721119249,0.09255704712287514,0.08257512347056316
