epoch,train_g,train_d,train_l1,val_l1
1,8.826968669891357,0.3046448495140118,0.11615818699376773,0.1156579852104187
2,8.22384344792999,0.29075171594071175,0.10312295507277007,0.11709957455213253
3,8.923942321169692,0.19706284363581017,0.10461974770358179,0.1262695508507582
4,9.129836111997081,0.15038566945730586,0.10583651679015793,0.1152864322066307
5,9.289345462765313,0.12749501119936463,0.10207939273224467,0.12220382289244579
6,9.31143585559541,0.17322254902889242,0.10148564429409736,0.10727679041715768
7,9.368825249967323,0.15927315714348733,0.10092877088922315,0.11470046639442444
8,9.641635658466711,0.1198662597381106,0.10109935120671196,0.12176838975686294
9,10.31586336034589,0.05792712112806276,0.10230621385627088,0.15642399627428788
10,10.154101688249977,0.10203763008719327,0.09999753284243355,0.10413269698619843
