epoch,train_g,train_d,train_l1,val_l1
1,22.2479916547252,0.2818521617672744,0.09533107557655436,0.09588257108743374
2,20.511840457409885,0.1397596659484954,0.08402228645518818,0.08155180055361527
3,20.80372590934281,0.004795563127021347,0.07346022046640911,0.07662330739773236
4,20.872274196253414,0.0013010972277343734,0.07143387903945636,0.07259001181675838
5,21.105910495319197,0.0009054485723928474,0.07117192730703185,0.07369571121839377
6,21.331120060608452,0.0007029932658847389,0.07110727337741218,0.07274346684034054
7,21.531062033324115,0.0007005017801946178,0.07205623843237362,0.0788698998781351
8,21.79738962966784,0.00046017024649587355,0.0709738538856,0.07304415565270644
9,21.93170820928253,0.0003519801959185243,0.07053030028411772,0.07371419840134107
10,22.020652872271242,0.00029806790392293667,0.07021259760434649,0.07150968680014977
