epoch,train_mse,val_mse
1,0.2159277065522555,0.2058773224055767
2,0.210893159740501,0.22164958721026778
3,0.20926922123672234,0.199927117228508
4,0.21315425247781805,0.23961347119882703
5,0.1935752591656314,0.17058524350635706
