epoch,train_l1,val_l1
12,0.06786889998258742,0.06892530448161639
1,0.08461449512865692,0.07231809428104988
2,0.07166079609794954,0.0728647720355254
3,0.0703534444349002,0.07162315341142508
4,0.07030171086698507,0.07149052849182716
5,0.06962562659013588,0.07124014026843585
6,0.06927229971748537,0.06989922059270051
7,0.06880914607802324,0.07179206953598903
8,0.06943285583922293,0.07151825038286355
9,0.06859206480790028,0.06884519125406559
10,0.06824826594211358,0.06945960452923408
11,0.06801358705996412,0.06918203057004856
12,0.06794376532852123,0.06873004568310884
13,0.06783402411151776,0.06875259056687355
14,0.06807987418322436,0.06926263610904033
15,0.0675403546311159,0.06857646829806842
16,0.06764230435400938,0.06837194871443969
17,0.06757124454046773,0.06913008254307967
18,0.06741516367919677,0.06883992856511703
19,0.06720846485906998,0.06833404675126076
20,0.06745190582180445,0.06761639995070604
21,0.06805298787302676,0.06811592555963077
22,0.06737934441956799,0.06868678904496707
23,0.06673800249674679,0.07010013610124588
24,0.06674720109564013,0.0732142707476249
25,0.06691260339148276,0.06779435792794594
26,0.06675921921181467,0.06766717250530536
27,0.06668400299628224,0.06763050733850552
28,0.06662732972639852,0.06791003019763873
29,0.06671285207292675,0.07087639833872135
30,0.06656864493162232,0.06883086264133453
31,0.06640347175761661,0.07085256908948605
32,0.06621244899203292,0.0677451712007706
33,0.06723395589969855,0.06767662127430622
34,0.06691346139506957,0.06722291759573497
35,0.0666074935775415,0.06782885497579208
36,0.06645692967339954,0.06814043023265325
37,0.06615132518706068,0.06746150983067659
38,0.06640199891629472,0.0672886331494038
39,0.06591092950079293,0.06691325312623611
40,0.06584571282156801,0.06775019461145768
41,0.06602904507148583,0.06699850266942611
42,0.06575444231914208,0.0666477270424366
43,0.0656498067938121,0.06923987429875594
44,0.06581140629353777,0.06675254754148997
45,0.06585700167095766,0.0678030364215374
46,0.0656677293962082,0.06938463936631496
47,0.0654956503911356,0.06758632883429527
48,0.06549759575091632,0.06756468690358676
49,0.06557358537627532,0.0720472175341386
50,0.06543377153905092,0.06709712514510521
13,0.06778993322390371,0.0705990602190678
14,0.06801024992513445,0.0684108562194384
