epoch,train_g,train_d,train_l1,val_l1
1,8.128123604090868,0.3871946162420564,0.11113494812651017,0.13581431427827248
2,8.564623609053351,0.2599547982413684,0.1080949108025669,0.11297180446294638
3,9.276470095710417,0.1952154972153691,0.11106517324141696,0.11894081017145744
4,9.063237620665964,0.20481301260601104,0.10822323630605124,0.12267791479825974
5,9.420346589215034,0.18189305373657066,0.10682605431143162,0.10430494237404603
6,10.45720246407838,0.06127871604702246,0.10834640264511108,0.12251918189800702
7,9.668561045047456,0.1740255339845883,0.10453007146056774,0.11861044626969558
8,9.615924472302462,0.1768704492236133,0.10341420960901059,0.11480837372633126
9,9.856026046044004,0.09008550773729133,0.10762497439848638,0.16389775620057032
10,9.896146824929566,0.15812615381421902,0.10323370017309104,0.10437511022274311
