epoch,train_g,train_d,train_l1,val_l1
1,13.37855414162695,0.2949740077014518,0.10201319781816111,0.08023718744516373
2,12.39710074399425,0.21199184288559234,0.08915445267890407,0.1189225115455114
3,13.922297899701954,0.24115037052702587,0.1027898920980175,0.09105418163996476
4,13.769168684967852,0.19229943163495147,0.10443372477208619,0.1137104000036533
5,14.31272944728885,0.21479639061520586,0.10694440658641073,0.11083102627442433
6,14.621814246726247,0.13710308632096357,0.10503546873816347,0.11109206768182608
7,14.873528497408977,0.17882736082460765,0.10665081982064036,0.12528009024950174
8,15.414191794606436,0.12390087228021131,0.10796154006920029,0.12295088859704825
9,14.761946678161621,0.15254641730189983,0.10000119134124401,0.10069567767473367
10,13.734262964366811,0.21324207254199196,0.09770830562420652,0.10749905269879562
